id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
224517,"Brass: Birmingham",2018,1,8.39466,8.56668,57414,0,,,,,,1,,
342942,"Ark Nova",2021,2,8.35525,8.54234,59892,0,,,,,,2,,
161936,"Pandemic Legacy: Season 1",2015,3,8.34776,8.50414,57165,0,,,,,,3,1,
174430,Gloomhaven,2017,4,8.30202,8.54302,66842,0,,,,,,5,2,
397598,"Dune: Imperium – Uprising",2023,5,8.22598,8.70499,17449,0,,,,,,4,,
316554,"Dune: Imperium",2020,6,8.22368,8.41395,57615,0,,,,,,7,,
233078,"Twilight Imperium: Fourth Edition",2017,7,8.21916,8.56495,28083,0,,,,,,6,4,
115746,"War of the Ring: Second Edition",2011,8,8.1973,8.55252,24869,0,,,,,,,3,1
167791,"Terraforming Mars",2016,9,8.18842,8.33925,112182,0,,,,,,8,,
187645,"Star Wars: Rebellion",2016,10,8.1671,8.42142,36112,0,,,,,,,5,
162886,"Spirit Island",2017,11,8.14183,8.34051,62291,0,,,,,,10,,
291457,"Gloomhaven: Jaws of the Lion",2020,12,8.1004,8.36526,40681,0,,,,,,12,8,
220308,"Gaia Project",2017,13,8.08902,8.35278,31018,0,,,,,,9,,
12333,"Twilight Struggle",2005,14,8.042,8.22941,51848,0,,,,,,16,,2
84876,"The Castles of Burgundy",2011,15,8.02994,8.15963,69007,0,,,,,,17,,
182028,"Through the Ages: A New Story of Civilization",2015,16,8.01635,8.25049,34644,0,,,,,,15,,
418059,"SETI: Search for Extraterrestrial Intelligence",2024,17,8.01175,8.41956,18279,0,,,,,,14,,
338960,"Slay the Spire: The Board Game",2024,18,8.00518,8.66093,11902,0,,,,,,13,,
193738,"Great Western Trail",2016,19,7.97687,8.15138,43597,0,,,,,,21,,
295770,Frosthaven,2022,20,7.97391,8.74893,9957,0,,,,,,11,6,
421006,"The Lord of the Rings: Duel for Middle-earth",2024,21,7.96916,8.36134,18605,0,,,,1,,20,,
246900,"Eclipse: Second Dawn for the Galaxy",2020,22,7.96004,8.39299,17142,0,,,,,,18,,
28720,"Brass: Lancashire",2007,23,7.95816,8.19641,27126,0,,,,,,19,,
173346,"7 Wonders Duel",2015,24,7.95414,8.07869,107996,0,,,,,,28,,
167355,Nemesis,2018,25,7.95103,8.25167,36939,0,,,,,,,12,
169786,Scythe,2016,26,7.94805,8.10369,92632,0,,,,,,27,,
177736,"A Feast for Odin",2016,27,7.94098,8.16191,33127,0,,,,,,23,,
266507,"Clank! Legacy: Acquisitions Incorporated",2019,28,7.93978,8.50082,11231,0,,,,,,,7,
124361,Concordia,2013,29,7.92671,8.07833,45133,0,,,,,,24,,
312484,"Lost Ruins of Arnak",2020,30,7.91443,8.08182,56109,0,,,,,,29,,
341169,"Great Western Trail: Second Edition",2021,31,7.90327,8.2665,17628,0,,,,,,22,,
205637,"Arkham Horror: The Card Game",2016,32,7.89093,8.12095,47459,0,,2,,,,,13,
373106,"Sky Team",2023,33,7.88347,8.12431,30414,0,,,,3,,,14,
237182,Root,2018,34,7.88114,8.0709,63306,0,,,,,,36,,13
120677,"Terra Mystica",2012,35,7.86137,8.03415,50787,0,,,,,,34,,
164928,Orléans,2014,36,7.85969,8.0479,35301,0,,,,,,33,,
192135,"Too Many Bones",2017,37,7.85475,8.29022,16830,0,,,,,,31,11,
266192,Wingspan,2019,38,7.84928,8.00216,111648,0,,,,5,,48,,
96848,"Mage Knight Board Game",2011,39,7.83791,8.08175,35030,0,,,,,,37,18,
251247,Barrage,2019,40,7.83643,8.13711,21433,0,,,,,,32,,
321608,"Hegemony: Lead Your Class to Victory",2023,41,7.82193,8.38478,11702,0,,,,,,26,,
199792,Everdell,2018,42,7.81042,7.98472,67514,0,,,,8,,50,,
324856,"The Crew: Mission Deep Sea",2021,43,7.80889,8.05492,25039,0,,,,4,,,,
183394,"Viticulture Essential Edition",2015,44,7.80753,7.95938,54789,0,,,,,,45,,
284378,"Kanban EV",2020,45,7.79929,8.38106,10062,0,,,,,,25,,
521,Crokinole,1876,46,7.79857,8.06642,20925,0,,,,7,,,,
366013,"Heat: Pedal to the Metal",2022,47,7.7948,8.00076,39692,0,,,,9,,,,
285774,"Marvel Champions: The Card Game",2019,48,7.78798,8.10581,27489,0,,3,,,,,,
247763,"Underwater Cities",2018,49,7.77504,8.04302,22767,0,,,,,,40,,
175914,"Food Chain Magnate",2015,50,7.77497,8.03809,22930,0,,,,,,42,,
256960,"Pax Pamir: Second Edition",2019,51,7.76786,8.12848,17366,0,,,,,,41,,
390092,"Ticket to Ride Legacy: Legends of the West",2023,52,7.76417,8.6457,6453,0,,,,2,,,,
365717,"Clank!: Catacombs",2022,53,7.76368,8.23548,13315,0,,,,6,,39,,
253344,"Cthulhu: Death May Die",2019,54,7.76022,8.1827,16612,0,,,,,,,15,
3076,"Puerto Rico",2002,55,7.75355,7.89923,74004,0,,,,,,55,,
383179,"Age of Innovation",2023,56,7.75062,8.46339,8196,0,,,,,,30,,
414317,Harmonies,2024,57,7.74404,8.02925,27654,0,1,,,10,,,,
184267,"On Mars",2020,58,7.73957,8.16091,14786,0,,,,,,43,,
295947,Cascadia,2021,59,7.73906,7.89404,54172,0,,,,11,,,,
314040,"Pandemic Legacy: Season 0",2020,60,7.73825,8.3405,9454,0,,,,,,35,10,
185343,Anachrony,2017,61,7.7352,8.0459,21337,0,,,,,,47,,
102794,"Caverna: The Cave Farmers",2013,62,7.73286,7.92319,37145,0,,,,,,54,,
31260,Agricola,2007,63,7.72672,7.85875,76477,0,,,,,,61,,
170216,"Blood Rage",2015,64,7.726,7.90047,51542,0,,,,,,63,,
251661,"Oathsworn: Into the Deepwood",2022,65,7.72537,8.77281,6714,0,,,,,,,9,
231733,Obsession,2018,66,7.72101,8.08514,17713,0,,,,,,49,22,
182874,"Grand Austria Hotel",2015,67,7.71504,7.96448,24800,0,,,,,,51,,
161533,Lisboa,2017,68,7.71028,8.17139,12782,0,,,,,,44,,
240980,"Blood on the Clocktower",2022,69,7.70324,8.35815,10974,0,,,,,1,52,,
221107,"Pandemic Legacy: Season 2",2017,70,7.68948,8.01238,18223,0,,,,,,56,20,
255984,"Sleeping Gods",2021,71,7.68896,8.09614,15684,0,,,,,,,21,
126163,"Tzolk'in: The Mayan Calendar",2012,72,7.68398,7.84711,42234,0,,,,,,66,,
2651,"Power Grid",2004,73,7.68346,7.8001,69291,0,,,,,,72,,
205059,"Mansions of Madness: Second Edition",2016,74,7.68093,7.91783,40058,0,,,,,,,29,
216132,"Clans of Caledonia",2017,75,7.67945,7.94565,22624,0,,,,,,58,,
371942,"The White Castle",2023,76,7.67942,7.98078,21884,0,,,,,,65,,
244521,Quacks,2018,77,7.66909,7.806,58510,0,,,,12,,,,
380607,"Great Western Trail: New Zealand",2023,78,7.6637,8.46818,6712,0,,,,,,38,,
266810,"Paladins of the West Kingdom",2019,79,7.66054,7.95726,20371,0,,,,,,62,,
35677,"Le Havre",2008,80,7.6586,7.83516,33758,0,,,,,,69,,
125153,"The Gallerist",2015,81,7.65566,8.0035,16391,0,,,,,,57,,
124742,"Android: Netrunner",2012,82,7.65281,7.89203,31241,0,,6,,,,,,
164153,"Star Wars: Imperial Assault",2014,83,7.65038,7.95313,25851,0,,,,,,,30,
200680,"Agricola (Revised Edition)",2016,84,7.64878,7.95609,21049,0,,,,,,71,,
367966,"Endeavor: Deep Sea",2024,85,7.63569,8.22572,9345,0,,,,,,53,,
276025,Maracaibo,2019,86,7.63548,7.94513,18551,0,,,,,,68,,
337627,Voidfall,2023,87,7.63465,8.51305,6670,0,,,,,,46,,
209010,"Mechs vs. Minions",2016,88,7.62727,7.95244,18305,0,,,,,,74,26,
366161,"Wingspan Asia",2022,89,7.62566,8.22206,9837,0,,,,,,67,,
322289,"Darwin's Journey",2023,90,7.62433,8.09348,11948,0,,,,,,60,,
332772,Revive,2022,91,7.62066,8.06312,12530,0,,,,,,64,,
284083,"The Crew: The Quest for Planet Nine",2019,92,7.61959,7.75897,48194,0,,,,14,,,,
55690,"Kingdom Death: Monster",2015,93,7.61862,8.47719,10374,0,,,,,,,19,
28143,"Race for the Galaxy",2007,94,7.61782,7.7376,58682,0,,,,,,79,,
157354,"Five Tribes: The Djinns of Naqala",2014,95,7.60817,7.76454,44993,0,,,,,,85,,
230802,Azul,2017,96,7.60792,7.71763,107191,0,2,,,17,,,,
277659,"Final Girl",2021,97,7.60686,8.23423,10897,0,,,,,,,24,
201808,"Clank!: A Deck-Building Adventure",2016,98,7.59812,7.76363,47109,0,,,,18,,95,,
159675,"Fields of Arle",2014,99,7.59314,8.02383,12330,0,,,,,,70,,
93,"El Grande",1995,100,7.59288,7.77159,32845,0,,,,,,78,,
72125,"Eclipse: New Dawn for the Galaxy",2011,101,7.58942,7.81777,29013,0,,,,,,87,,
256916,"Concordia Venus",2018,102,7.58521,8.25822,7510,0,,,,,,59,,
359871,Arcs,2024,103,7.58385,8.01585,16233,0,,,,,,82,,
291453,SCOUT,2019,104,7.58363,7.79504,27381,0,,,,15,,,,
110327,"Lords of Waterdeep",2012,105,7.58229,7.7297,58898,0,,,,,,101,,
191189,"Aeon's End",2016,106,7.58045,7.86445,23827,0,,,,,,91,,
413246,"Bomb Busters",2024,107,7.57761,8.04065,11675,0,,,,13,,,,
229853,"Teotihuacan: City of Gods",2018,108,7.56692,7.83737,21959,0,,,,,,83,,
317985,"Beyond the Sun",2020,109,7.5586,7.86501,17367,0,,,,,,76,,
359609,"Arkham Horror: The Card Game (Revised Core Set)",2021,110,7.55836,8.58584,5461,0,,1,,,,,17,
364073,"Splendor Duel",2022,111,7.55461,7.88043,18778,0,,,,16,,98,,
62219,"Dominant Species",2010,112,7.55393,7.80194,22333,0,,,,,,89,,
279537,"The Search for Planet X",2020,113,7.55282,7.90158,15469,0,,,,,,88,,
25613,"Through the Ages: A Story of Civilization",2006,114,7.55179,7.82008,19821,0,,,,,,84,,
68448,"7 Wonders",2010,115,7.55065,7.66369,112162,0,,,,20,,118,,
225694,Decrypto,2018,116,7.54944,7.76838,27150,0,,,,,2,,,
121921,"Robinson Crusoe: Adventures on the Cursed Island",2012,117,7.54777,7.7244,46537,0,,,,,,,37,
12,Ra,1999,118,7.54669,7.70924,31661,0,,,,,,97,,
171623,"The Voyages of Marco Polo",2015,119,7.54551,7.76599,26200,0,,,,,,96,,
163068,"Trickerion: Legends of Illusion",2015,120,7.53751,7.97116,12505,0,,,,,,77,,
436217,"The Lord of the Rings: Fate of the Fellowship",2025,121,7.53541,8.31452,7533,0,,,,,,,25,
217372,"The Quest for El Dorado",2017,122,7.53426,7.71617,32237,0,,,,19,,,,
155821,Inis,2016,123,7.53043,7.81518,22884,0,,,,,,102,,
410201,Wyrmspan,2024,124,7.52791,7.96498,15052,0,,,,,,105,,
